Test,Par_1,Par_2,Par_3,Par_4,Par_5,Par_6,Par_7,Par_8,Par_9,Par_10
01 Frequency (Monobit),0.019257,0.508973,0.519921,0.126674,0.703631,0.383669,0.804531,0.593924,0.212274,0.331267
02 Block Frequency (M=128),0.577679,0.277746,0.180993,0.365231,0.158135,0.157923,0.960428,0.136888,0.351142,0.477284
03 Runs,0.370483,0.004703,0.888886,0.305108,0.868660,0.626240,0.654985,0.950543,0.716032,0.539862
04 Longest Run of Ones,0.157598,0.523527,0.700885,0.306151,0.789761,0.902691,0.165829,0.689039,0.688241,0.254085
05 Binary Matrix Rank,0.765349,0.057784,0.165745,0.801410,0.033404,0.545067,0.500903,0.684579,0.251812,0.627768
06 DFT / Spectral,0.003725,0.311413,0.090343,0.554865,0.770288,0.953430,0.432365,0.159107,0.979293,0.353456
07 Non-overlapping Template,0.183286,0.855747,0.360248,0.802319,0.927971,0.687265,0.884260,0.889805,0.748775,0.468831
08 Overlapping Template,0.892712,0.287679,0.945038,0.940834,0.797994,0.921215,0.007150,0.795881,0.108971,0.912762
09 Maurer's Universal,0.276902,0.278478,0.025969,0.392672,0.022868,0.474588,0.980404,0.026789,0.054113,0.673847
10 Linear Complexity (M=500),0.364622,0.144904,0.157309,0.965915,0.292119,0.632801,0.374102,0.477207,0.919521,0.029502
11 Serial (m=16),0.825732,0.406750,0.332472,0.580900,0.442897,0.550416,0.569466,0.707606,0.581913,0.328383
12 Approx Entropy (m=10),0.332534,0.107106,0.651737,0.299983,0.564711,0.830680,0.432153,0.131881,0.581800,0.470220
13 Cumulative Sums,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
14 Random Excursions,0.000000,0.114471,0.284036,0.107155,0.031247,0.000000,0.085163,0.112665,0.056706,0.231715
15 Rand. Excursions Variant,0.000000,0.051883,0.237526,0.000468,0.012964,0.000000,0.058512,0.159036,0.008498,0.129197
